Title,Description
Digital Detox,"Die Digitalisierung hat unser gesamtes Leben völlig neu geprägt. Sie hat viele positive Seiten, aber auch negative Folgen wie Stress und Konzentrationsstörungen. In diesem eLearning analysieren Sie die Ursachen der digitalen Belastung und erhalten Tipps, wie Sie mit den Folgen der dauerhaften Erreichbarkeit umgehen können. Außerdem werden Sie mehrere Möglichkeiten kennenlernen und ausprobieren, mit denen Sie zurück in die Entspannung finden können. Außerdem können Sie mit unserem Digital-Detox-Notfallkoffer unmittelbar digitale Belastung erkennen und bekommen Werkzeuge an die Hand, mit denen Sie direkt etwas dagegen tun können.

Lernziele
- Sie (er)kennen die Ursachen der digitalen Belastung wie Multitasking, störenden Unterbrechungen und sofortige Belohnung und können hiermit bewusst umgehen.
- Sie analysieren Ihre Nutzung von digitalen Medien und Endgeräten.
- Sie entwickeln Strategien für einen bewussteren Umgang mit digitalen Medien und Endgeräten und nutzen Digital-Detox-Strategien.
- Sie können mit den Folgen der Digitalisierung und dauerhaften Erreichbarkeit (besser) umgehen.
- Sie identifizieren mögliche digitalfreie Räume und Zeiten.
- Sie finden bewusst zurück in die Entspannung.       
 "
Infoflut bewältigen - Zeit gewinnen,"Mails, Tweets und Posts, dazu Branchennews und Nachrichten – werden Sie der täglichen Informationsflut Herr. Lernen Sie, mit gezielten Techniken nur die relevanten Themen herauszufiltern, effizient zu verarbeiten und bei Bedarf wieder abzurufen. Alles andere wandert in den Papierkorb.

Lernziele
Ihr Grundlesetempo ist schneller.
Ihr Text- und Leseverständnis ist besser als vorher.
Sie können das Gelesene besser erinnern und gespeicherte Informationen schnell wiederfinden.
Sie beherrschen verschiedene Entspannungstechniken, um konzentrierter Informationen aufzunehmen."
Stressmanagement,"Wann fühlen Sie sich in Ihrem beruflichen und privaten Alltag so richtig gestresst? Wenn Sie einen Termin nicht halten können? Wenn es mit dem/der Chef*in oder den Kolleg*innen knirscht? Mit diesem eLearning identifizieren Sie, was bei Ihnen Stress auslöst und erfahren, was Ihre Werte und Emotionen damit zu tun haben. Am Ende wissen Sie, was bei Stress im Körper passiert und Ihnen wird klar, wo Sie ansetzen müssen, um Stress zu bewältigen. Tipps und Übungen helfen Ihnen dabei, Ihren persönlichen Weg aus dem Stress zu finden und künftige Herausforderungen besser zu meistern. Des Weiteren zeigt Ihnen das eLearning die Ursachen und Anzeichen für ein Burnout-Syndrom auf und es werden Methoden vermittelt, um diesem vorzubeugen.

Lernziele
Sensibilisierung für die Entstehung und Bewältigung von Stress.
Grundverständnis von körperlichen Stressreaktionen und der Rolle von Stressoren.
Erkennen persönlicher Stressauslöser und Stressfolgen.
Reflexion über die individuelle Auswirkung von Stress.
Verbessern der Wahrnehmung von Stresssignalen.
Anwenden von Methoden zur Stressbewältigung.
Ursachen und Anzeichen für ein Burnout-Syndrom.
Methoden, um ein Burnout zu vermeiden."
Kreatives Zeitmanagement - Aufgaben typgerecht meistern,"Zeitmanagement ist in der heutigen, komplexen, schnellen und flexiblen Arbeitswelt unverzichtbar geworden. Doch wie soll mit den Aufgaben und Verpflichtungen umgegangen werden, die auf einen hereinstürmen? Was kann getan werden, um einen optimalen Ausgleich zwischen Beruf und Privatleben herzustellen? Wie können die eigenen Ressourcen und Kompetenzen optimal eingesetzt werden? Wie können Ziele erreicht werden, ohne dabei auszubrennen? Zeitmanagement bedeutet, gesund und gelassen die täglichen Aufgaben zu schaffen und dabei Freiraum für die wichtigen und schönen Dinge im Leben zu finden. Mit diesem eLearning können Sie einen eigenen Typencheck durchführen und erhalten individuelle Tipps für ein optimales Zeitmanagement, passend zu Ihrem Organisationstyp.

Lernziele
- Sie wissen, was Sie machen können, um mit Spaß, Zufriedenheit und Glück durch Ihren Alltag zu gehen.
- Sie können Stresssituationen entzerren und Druck vermeiden.
- Sie kennen Ihre eigenen Zeitdiebe und wissen, was Sie gegen diese unternehmen können.
- Sie haben die Flut an Aufgaben und Verpflichtungen in Ihrem Alltag im Griff.
- Sie erkennen Prioritäten und können diese auch umsetzen.
- Sie kennen verschiedene Möglichkeiten, Ihre Aufgaben und Termine erfolgreich zu planen.
- Sie wissen, dass Sie sich auch Raum und Zeit für die schönen Dinge im Leben schaffen müssen und wissen, wie Sie dies angehen können.
- Sie meistern effektiv und produktiv Ihr tägliches Pensum."
Resilienz,"Manche Menschen gehen gestärkt aus Krisen hervor, während andere daran förmlich zerbrechen. Der Unterschied liegt in der Resilienz, einer Widerstandskraft, mit der Sie Belastungen besser überstehen und der aufreibenden Arbeitswelt gelassener gegenübertreten. Erfahren Sie hier, wie Sie Herausforderungen meistern, ohne körperlich und seelisch Schaden zu nehmen.

Lernziele
- Sie können Ihre Stimmungslage bewusster erkennen und ein Aufschaukeln negativer Emotionen vermeiden.
- Sie nehmen Erfolge bewusster wahr und erfahren mehr Selbstbestätigung.
- Sie sind sich Ihrer eigenen Stärken bewusst und entwickeln eine positive Haltung sich selbst gegenüber.
- Sie wissen, wie Ihre körperliche Haltung Ihre geistige Haltung beeinflusst und wie Sie dies für sich nutzen können.
- Sie holen sich gezielt Rat und nutzen die Stärken anderer, wenn Sie nicht mehr weiterkommen.
- Sie besitzen durch Wertschätzung eine positive Auswirkung auf sich selbst und Ihr Umfeld."
Homeoffice meistern ,"Die Arbeit im Homeoffice erfordert ein hohes Maß an Selbstorganisation. Erfahren Sie in diesem eLearning, wie Sie sich im Homeoffice besser organisieren und Ihre Produktivität steigern. Prüfen Sie mit dem Selbsttest, ob Sie mit der Arbeit im Homeoffice gut zurecht kommen oder was Sie verändern müssen. Nutzen Sie Ihre Arbeitszeit auch zuhause optimal.

Lernziele:
- Sie verstehen, welche Vorteile Homeoffice bietet und können einschätzen, wo für Sie Schwierigkeiten liegen können.
- Sie können Rahmenbedindungen für effizientes Arbeiten im Homeoffice schaffen.
- Sie können Störfaktoren gezielt eliminieren und Ihre Produktivität steigern.
- Sie können Ihren Arbeitsplatz sinnvoll einrichten."
Lernstrategien,"In diesem eLearning lernen Sie, wie unser Gehirn funktioniert und wie es Höchstleistungen bringen kann. Dabei lösen wir schulisch konditionierte Glaubenssätze auf, erklären komplexe Zusammenhänge sehr einfach und zeigen konkrete Methoden und Tricks, wie das Lernen natürlicher wird und auch endlich wieder Spaß macht.

Lernziele
Sie wissen wie Ihr Gehirn funktioniert und welcher Lerntyp Sie sind.
- Sie können 2 Memotechniken anwenden, mit denen Sie sich an Inhalte langfristig erinnern.
- Sie wissen was Speed und was Selective reading bedeutet und können beide Methoden anwenden."
Hygiene am Arbeitsplatz,"Hygiene am Arbeitsplatz gewinnt in Zeiten von Corona und Co. eine besondere Brisanz – nicht nur für jeden einzelnen Mitarbeiter, sondern auch für Unternehmen. Denn Krankheitswellen können enormen wirtschaftlichen Schaden anrichten.

Durch ein gesteigertes Hygiene-Bewusstsein der gesamten Belegschaft lassen sich diese Risiken abfedern und die Gesundheit der wertvollsten Unternehmensressource erhalten.

Lernziele
- Sie lernen, welche Viren und Bakterien am Arbeitsplatz „lauern“.
- Sie erfahren, warum Ihre Hände Risikofaktor Nr. 1 sind.
- Sie lernen, wie Sie sich effektiv vor einer Ansteckung schützen können.
- Sie wissen, wo Sie stets aktuelle Informationen über Corona & Co. finden."
Korruptionsprävention,"Korruption kann in vielen Bereichen des Geschäftslebens auftauchen. Der Erfolg eines Unternehmens ist eng mit dem Vertrauen der Kunden und der Öffentlichkeit in die Integrität eines Unternehmens verknüpft. Alle Mitarbeiter müssen erkennen können, wann es sich um Korruption handelt und in welchen Situationen sie besonders vorsichtig und umsichtig sein müssen. Dieses eLearning hilft Ihnen, alle Mitarbeiter im Unternehmen für Korruptionsvergehen im Geschäftsalltag zu sensibilisieren. So können Sie Haftungsrisiken und Strafen vermeiden.

Lernziele
- Die Mitarbeiter wissen, was Korruption ist.
- Die Mitarbeiter kennen die Folgen, mit denen derjenige rechnen muss, der besticht oder sich bestechen lässt.
- Sie kennen die Sorgfaltspflichten zur Verhinderung von Korruption im Unternehmen.
- Die Mitarbeiter wissen, was sie ganz persönlich zur Verhinderung von Korruption beitragen können."
"Geschenke, Einladungen, Spenden und Sponsoring","Geschenke und Einladungen gehören zum Geschäftsleben. Aber seit vermehrt Fälle von Bestechung und Vorteilsnahme die Gerichte beschäftigen, sind viele Mitarbeiter im Unternehmen verunsichert: Kann man einen Geschäftspartner noch zum Essen einladen? Ist ein Geschenk als Dank für die Zusammenarbeit angemessen oder bringt man sich und ihn damit in Schwierigkeiten? Dieses Training unterstützt Ihre Mitarbeiter dabei zu entscheiden, was zulässig ist, wo besondere Vorsicht geboten ist und was man besser unterlassen sollte. So können alle im Unternehmen sicher mit Geschenken und Einladungen umgehen.

Lernziele
- Ihre Mitarbeiter lernen die wichtigsten Regeln, die beim Umgang mit Geschenken und Einladungen zu beachten sind.
- Sie wissen, wo die Grenze zwischen einer legitimen Beziehungspflege und einer Handlung liegt, die unter Umständen strafbar sein kann.
- Ihre Mitarbeiter können sichere Entscheidungen in Bezug auf das Thema Geschenke und Einladungen treffen und Interessenkonflikte vermeiden."
AGG für Mitarbeiter,"Jeder Mensch ist einzigartig und damit immer irgendwie anders als andere. Im Arbeitsleben will das Allgemeine Gleichbehandlungsgesetz davor schützen, dass Menschen unberechtigt benachteiligt werden, nur weil sie „anders” sind. Arbeitgeber sind dazu verpflichtet, ihre Mitarbeiter und Führungskräfte zum Allgemeinen Gleichbehandlungsgesetz zu informieren und zu schulen. Unterstützen Sie Ihre Mitarbeiter bei deren Beitrag für ein tolerantes und benachteiligungsfreies Miteinander am Arbeitsplatz.

Lernziele
- Ihre Mitarbeiter wissen, wie sie Benachteiligungen am Arbeitsplatz vermeiden und sich davor schützen können.
- Ihre Mitarbeiter kennen die Benachteiligungen und wissen, was verboten ist.
- Ihre Mitarbeiter kennen die zulässigen Ausnahmen und wissen, was erlaubt ist.
- Ein benachteiligungsfreies Arbeitsumfeld: Jeder Mitarbeiter weiß, was er dafür tun kann."
AGG für Führungskräfte,"Führungskräfte, die eine Vielzahl an Menschen in einem Unternehmen koordinieren, bewegen sich auf einem schmalen Grat zwischen legitimer Ungleichbehandlung und unerlaubter Benachteiligung. Das eLearning ""AGG für Führungskräfte"" klärt Ihre Führungskräfte über das Allgemeine Gleichbehandlungsgesetz auf und gibt ihnen das notwendige Wissen an die Hand, um diskriminierende Benachteiligung am Arbeitsplatz sowie zulässige Ausnahmen zu erkennen und inakzeptable Benachteiligungen zu verhindern.

Lernziele
- Ihre Führungskräfte sind sich ihrer eigenen Verantwortung sowie ihrer Rechte und Pflichten bewusst.
- Anhand praxisnaher Beispiele erfahren Ihre Führungskräfte, wie sie Benachteiligungen am Arbeitsplatz vorbeugen können.
- Ihre Führungskräfte wissen, welche Maßnahmen im Falle einer Benachteiligung zu ergreifen sind.
- Ihre Führungskräfte wissen, in welchen Ausnahmefällen Ungleichbehandlungen zulässig sind.
- Ihre Führungskräfte können sich und ihre Mitarbeiter in der Bewerbungsphase, während der Arbeitszeit und im Rahmen einer Kündigung vor Benachteiligungen schützen."
Markt- und Wettbewerbsanalysen - NEU,"Ob als Start-up oder etablierte Marke: Mit Ihren Produkten oder Dienstleistungen stehen Sie in einem dynamischen Wettbewerb mit vielen anderen, innovationsgetriebenen Anbietern. Kennt der Markt Sie bereits gut? Wissen Ihre Kunden, für was Sie stehen? Verstehen sie Ihre Werbebotschaften? Und richten Sie Ihre Marketingstrategien an den Bedürfnissen der Kunden aus?
Wenn Sie diese Fragen noch nicht beantworten können, sind Sie hier genau richtig. Erfahren Sie, woran Sie Ihre eigene Marktposition festmachen können und wie Sie sich vom Wettbewerb differenziert bekommen. Verstehen Sie Ihre Chancen im Markt und lernen Sie Ihre potenziellen Kunden besser kennen.
Nur so können Sie Strategien entwickeln, um sich auch für den Markt der Zukunft zu wappnen und sich innovativ und kundenorientiert weiterzuentwickeln.

Lernziele
- Sie verstehen, warum Marktanalysen für Ihre Produkte bzw. Ihre Marke relevant sind, um nicht im Blindflug unterwegs zu sein.
- Sie können in Kennzahlen darstellen, welche Position Sie bereits im Markt einnehmen und welches Potenzial sich für Ihr Produkt oder Ihre Marke noch ergibt.
- Sie ermitteln Schritt für Schritt Ihre eigene Markenbekanntheit und passen Ihre Positionierung zielgerichtet an.
- Sie führen Konzept- und Produkttests durch und können neue, innovative Ideen direkt am Kunden ausprobieren, bevor Sie lange in die falsche Richtung entwickeln.
- Sie wissen, woher Sie Daten für Ihre Analysen bekommen."
Digitale Megatrends der Zukunft,"Big Data, Internet of Things, Blockchain – das sind Begriffe, die Ihnen bestimmt schon oft begegnet sind. Die Digitalisierung ist in Ihrem Alltag schon angekommen und wird sich auch auf Ihren Job auswirken. Aber verstehen Sie eigentlich die Konzepte, die hinter den digitalen Megatrends stecken?

Lernziele
- Sie wissen welche digitalen Megatrends es gibt.
- Sie verstehen wie die Megatrends sich bereits auf den Alltag auswirken.
- Sie erfahren wohin sich die Trends entwickeln werden.
- Sie verstehen dass Sie sich vor der Digitalisierung nicht verstecken können.
- Sie erkennen die Chancen, die Ihnen die Digitalisierung bietet.
- Sie verstehen die Konzepte hinter den Trends."
